Timestamp,SourceIP,DestURL,Action,ThreatCategory,BytesSent,BytesReceived,UserAgent,SourceUser,AppName
2026-01-28T08:05:20.793Z,10.0.0.55,http://unknown-host.xy/upload,Allow,None,7823178,445,"python-requests/2.28.1",finance_lead@tenex.com,Dropbox
2026-01-28T08:06:29.793Z,10.0.0.55,http://unknown-host.xy/upload,Allow,None,10320449,344,"python-requests/2.28.1",finance_lead@tenex.com,Dropbox
2026-01-28T08:40:11.793Z,10.0.0.55,http://unknown-host.xy/upload,Allow,None,27950413,137,"python-requests/2.28.1",finance_lead@tenex.com,Dropbox
2026-01-28T08:40:39.793Z,10.0.0.55,http://unknown-host.xy/upload,Allow,None,26616594,136,"python-requests/2.28.1",finance_lead@tenex.com,Dropbox
2026-01-28T08:41:10.793Z,10.0.0.55,http://unknown-host.xy/upload,Allow,None,10356217,255,"python-requests/2.28.1",finance_lead@tenex.com,Dropbox
2026-01-28T08:46:03.793Z,10.0.0.55,http://unknown-host.xy/upload,Allow,None,23759438,136,"python-requests/2.28.1",finance_lead@tenex.com,Dropbox
2026-01-28T08:47:38.793Z,10.0.0.55,http://unknown-host.xy/upload,Allow,None,42226421,482,"python-requests/2.28.1",finance_lead@tenex.com,Dropbox
2026-01-28T08:47:45.793Z,10.0.0.55,http://unknown-host.xy/upload,Allow,None,35948579,147,"python-requests/2.28.1",finance_lead@tenex.com,Dropbox
2026-01-28T08:59:05.793Z,10.0.0.55,http://unknown-host.xy/upload,Allow,None,4019560,496,"python-requests/2.28.1",finance_lead@tenex.com,Dropbox
2026-01-28T13:01:15.792Z,27.252.126.76,https://update-win32.com/path/to/resource,Block,Malware,4516,39787,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36",a.smith@tenex.com,General Browsing
2026-01-28T13:02:26.792Z,191.236.208.176,https://github.com/path/to/resource,Block,Cryptomining,2778,16554,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36",k.patel@tenex.com,Zoom
